codice;geo_point
289;"{""type"":""Point"",""coordinates"":[11.276627488,44.512762296]}"
290;"{""type"":""Point"",""coordinates"":[11.276627488,44.515010597]}"
291;"{""type"":""Point"",""coordinates"":[11.276627488,44.517258898]}"
292;"{""type"":""Point"",""coordinates"":[11.276627488,44.519507199]}"
293;"{""type"":""Point"",""coordinates"":[11.276627488,44.5217555]}"
294;"{""type"":""Point"",""coordinates"":[11.276627488,44.5240038]}"
295;"{""type"":""Point"",""coordinates"":[11.276627488,44.526252101]}"
296;"{""type"":""Point"",""coordinates"":[11.276627488,44.528500402]}"
297;"{""type"":""Point"",""coordinates"":[11.276627488,44.530748703]}"
298;"{""type"":""Point"",""coordinates"":[11.276627488,44.532997004]}"
299;"{""type"":""Point"",""coordinates"":[11.276627488,44.535245305]}"
300;"{""type"":""Point"",""coordinates"":[11.276627488,44.537493606]}"
301;"{""type"":""Point"",""coordinates"":[11.276627488,44.539741907]}"
302;"{""type"":""Point"",""coordinates"":[11.279775252,44.490279287]}"
303;"{""type"":""Point"",""coordinates"":[11.279775252,44.492527588]}"
304;"{""type"":""Point"",""coordinates"":[11.279775252,44.494775889]}"
305;"{""type"":""Point"",""coordinates"":[11.279775252,44.49702419]}"
306;"{""type"":""Point"",""coordinates"":[11.279775252,44.49927249]}"
307;"{""type"":""Point"",""coordinates"":[11.279775252,44.501520791]}"
308;"{""type"":""Point"",""coordinates"":[11.279775252,44.503769092]}"
309;"{""type"":""Point"",""coordinates"":[11.279775252,44.506017393]}"
310;"{""type"":""Point"",""coordinates"":[11.279775252,44.508265694]}"
311;"{""type"":""Point"",""coordinates"":[11.279775252,44.510513995]}"
312;"{""type"":""Point"",""coordinates"":[11.279775252,44.512762296]}"
313;"{""type"":""Point"",""coordinates"":[11.279775252,44.515010597]}"
314;"{""type"":""Point"",""coordinates"":[11.279775252,44.517258898]}"
315;"{""type"":""Point"",""coordinates"":[11.279775252,44.519507199]}"
316;"{""type"":""Point"",""coordinates"":[11.279775252,44.5217555]}"
317;"{""type"":""Point"",""coordinates"":[11.279775252,44.5240038]}"
318;"{""type"":""Point"",""coordinates"":[11.279775252,44.526252101]}"
319;"{""type"":""Point"",""coordinates"":[11.279775252,44.528500402]}"
320;"{""type"":""Point"",""coordinates"":[11.279775252,44.530748703]}"
321;"{""type"":""Point"",""coordinates"":[11.279775252,44.532997004]}"
322;"{""type"":""Point"",""coordinates"":[11.279775252,44.535245305]}"
323;"{""type"":""Point"",""coordinates"":[11.279775252,44.537493606]}"
324;"{""type"":""Point"",""coordinates"":[11.279775252,44.539741907]}"
325;"{""type"":""Point"",""coordinates"":[11.279775252,44.541990208]}"
326;"{""type"":""Point"",""coordinates"":[11.279775252,44.544238509]}"
327;"{""type"":""Point"",""coordinates"":[11.279775252,44.54648681]}"
328;"{""type"":""Point"",""coordinates"":[11.282923017,44.427326861]}"
329;"{""type"":""Point"",""coordinates"":[11.282923017,44.440816667]}"
330;"{""type"":""Point"",""coordinates"":[11.282923017,44.443064968]}"
331;"{""type"":""Point"",""coordinates"":[11.282923017,44.445313269]}"
332;"{""type"":""Point"",""coordinates"":[11.282923017,44.44756157]}"
333;"{""type"":""Point"",""coordinates"":[11.282923017,44.490279287]}"
334;"{""type"":""Point"",""coordinates"":[11.282923017,44.492527588]}"
335;"{""type"":""Point"",""coordinates"":[11.282923017,44.494775889]}"
336;"{""type"":""Point"",""coordinates"":[11.282923017,44.49702419]}"
337;"{""type"":""Point"",""coordinates"":[11.282923017,44.49927249]}"
338;"{""type"":""Point"",""coordinates"":[11.282923017,44.501520791]}"
339;"{""type"":""Point"",""coordinates"":[11.282923017,44.503769092]}"
340;"{""type"":""Point"",""coordinates"":[11.282923017,44.506017393]}"
341;"{""type"":""Point"",""coordinates"":[11.282923017,44.508265694]}"
342;"{""type"":""Point"",""coordinates"":[11.282923017,44.510513995]}"
343;"{""type"":""Point"",""coordinates"":[11.282923017,44.512762296]}"
344;"{""type"":""Point"",""coordinates"":[11.282923017,44.515010597]}"
345;"{""type"":""Point"",""coordinates"":[11.282923017,44.517258898]}"
346;"{""type"":""Point"",""coordinates"":[11.282923017,44.519507199]}"
347;"{""type"":""Point"",""coordinates"":[11.282923017,44.5217555]}"
348;"{""type"":""Point"",""coordinates"":[11.282923017,44.5240038]}"
349;"{""type"":""Point"",""coordinates"":[11.282923017,44.526252101]}"
350;"{""type"":""Point"",""coordinates"":[11.282923017,44.528500402]}"
351;"{""type"":""Point"",""coordinates"":[11.282923017,44.530748703]}"
352;"{""type"":""Point"",""coordinates"":[11.282923017,44.532997004]}"
353;"{""type"":""Point"",""coordinates"":[11.282923017,44.535245305]}"
354;"{""type"":""Point"",""coordinates"":[11.282923017,44.537493606]}"
355;"{""type"":""Point"",""coordinates"":[11.282923017,44.539741907]}"
356;"{""type"":""Point"",""coordinates"":[11.282923017,44.541990208]}"
357;"{""type"":""Point"",""coordinates"":[11.282923017,44.544238509]}"
358;"{""type"":""Point"",""coordinates"":[11.282923017,44.54648681]}"
359;"{""type"":""Point"",""coordinates"":[11.286070782,44.427326861]}"
360;"{""type"":""Point"",""coordinates"":[11.286070782,44.429575162]}"
361;"{""type"":""Point"",""coordinates"":[11.286070782,44.431823463]}"
362;"{""type"":""Point"",""coordinates"":[11.286070782,44.434071764]}"
363;"{""type"":""Point"",""coordinates"":[11.286070782,44.436320065]}"
364;"{""type"":""Point"",""coordinates"":[11.286070782,44.438568366]}"
365;"{""type"":""Point"",""coordinates"":[11.286070782,44.440816667]}"
366;"{""type"":""Point"",""coordinates"":[11.286070782,44.443064968]}"
367;"{""type"":""Point"",""coordinates"":[11.286070782,44.445313269]}"
368;"{""type"":""Point"",""coordinates"":[11.286070782,44.44756157]}"
369;"{""type"":""Point"",""coordinates"":[11.286070782,44.44980987]}"
370;"{""type"":""Point"",""coordinates"":[11.286070782,44.452058171]}"
371;"{""type"":""Point"",""coordinates"":[11.286070782,44.454306472]}"
372;"{""type"":""Point"",""coordinates"":[11.286070782,44.456554773]}"
373;"{""type"":""Point"",""coordinates"":[11.286070782,44.490279287]}"
374;"{""type"":""Point"",""coordinates"":[11.286070782,44.492527588]}"
375;"{""type"":""Point"",""coordinates"":[11.286070782,44.494775889]}"
376;"{""type"":""Point"",""coordinates"":[11.286070782,44.49702419]}"
377;"{""type"":""Point"",""coordinates"":[11.286070782,44.49927249]}"
378;"{""type"":""Point"",""coordinates"":[11.286070782,44.501520791]}"
379;"{""type"":""Point"",""coordinates"":[11.286070782,44.503769092]}"
380;"{""type"":""Point"",""coordinates"":[11.286070782,44.506017393]}"
381;"{""type"":""Point"",""coordinates"":[11.286070782,44.508265694]}"
382;"{""type"":""Point"",""coordinates"":[11.286070782,44.510513995]}"
383;"{""type"":""Point"",""coordinates"":[11.286070782,44.512762296]}"
384;"{""type"":""Point"",""coordinates"":[11.286070782,44.515010597]}"
385;"{""type"":""Point"",""coordinates"":[11.286070782,44.517258898]}"
386;"{""type"":""Point"",""coordinates"":[11.286070782,44.519507199]}"
